", replacing {0}",، ليحل محل {0}
A lead's details disagree with the account,بيانات العميل المحتمل لا تتطابق مع الحساب
A merge cannot be undone.,لا يمكن التراجع عن الدمج.
"A signup collects no address - it is captured at the first checkout - but the field is mandatory, so the record cannot be saved from the Desk until it has one.",لا يجمع التسجيل أي عنوان - إذ يُلتقط عند أول عملية دفع - لكن الحقل إلزامي، لذا لا يمكن حفظ السجل من لوحة التحكم حتى يحصل على عنوان.
Account,الحساب
Account Type,نوع الحساب
Account {0}: {1} → {2},الحساب {0}: {1} ← {2}
Add to Foreign Name,إضافة إلى الاسم الأجنبي
Add {0} to the contact's Foreign Name field?,"إضافة {0} إلى حقل ""الاسم الأجنبي"" الخاص بجهة الاتصال؟"
Already in the system,موجود بالفعل في النظام
Already {0}. Nothing further to do here.,تم بالفعل {0}. لا يوجد ما يُتخذ هنا بعد الآن.
"An existing customer already had this email, but the name did not agree - too weak a signal to put a stranger's record in front of anybody, so a new customer was created rather than guessing.",كان هذا البريد الإلكتروني مسجَّلاً بالفعل لعميل موجود، لكن الاسم لم يتطابق - وهذه إشارة ضعيفة جدًا لعرض سجل شخص غريب على أي أحد، لذا تم إنشاء عميل جديد بدلاً من التخمين.
Answer no longer fitted,لم تعد الإجابة مطابقة
Applied the submitted name {0!r}.,تم تطبيق الاسم المُقدَّم {0!r}.
Applying…,جارٍ التطبيق…
"Both codes were proved, and the email turned out to belong to an existing account that the phone number does not reach.",تم إثبات كلا الرمزين، وتبيّن أن البريد الإلكتروني يخص حسابًا موجودًا لا يصل إليه رقم الهاتف.
"Both codes were proved, and the number turned out to belong to an existing account that the email does not reach.",تم إثبات كلا الرمزين، وتبيّن أن الرقم يخص حسابًا موجودًا لا يصل إليه البريد الإلكتروني.
"Both records have submitted documents. This one has the most ({0}); check the other before merging - whichever you keep, the other's history moves onto it.",كلا السجلين يحتوي على مستندات مُرسَلة. هذا السجل لديه الأكثر ({0})؛ تحقّق من الآخر قبل الدمج - أيًّا كان السجل الذي ستبقي عليه، سينتقل إليه تاريخ الآخر.
Briefing,الموجز
Candidates considered (raw),المرشحون الذين تم فحصهم (بيانات خام)
Change nothing and stop it resurfacing,عدم تغيير أي شيء ووقف ظهوره مجددًا
"Check the two are the same person. Egyptian numbers get reassigned, and if this one was, an account is now attached to somebody else's order history. If they are the same person under an old name, put the submitted name on the records.",تحقّق من أن الاثنين هما نفس الشخص. يُعاد تخصيص الأرقام المصرية لأشخاص آخرين، وإذا كان هذا الرقم كذلك، فإن حسابًا أصبح الآن مرتبطًا بسجل طلبات شخص آخر. وإذا كانا نفس الشخص تحت اسم قديم، ضع الاسم المُقدَّم على السجلات.
Choose which customer record to keep before merging.,اختر سجل العميل الذي سيتم الإبقاء عليه قبل الدمج.
Cleared the pending-number marker on {0}.,"تمت إزالة علامة ""الرقم قيد الانتظار"" من {0}."
Company Name Given,اسم الشركة المُدخل
Company given,اسم الشركة المقدَّم
